[34m[1mwandb[39m[22m: Detected [openai] in use.
[34m[1mwandb[39m[22m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[39m[22m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                       | 0/107 [00:00<?, ?it/s]/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:86: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
{'loss': 0.8994, 'learning_rate': 5e-06, 'epoch': 0.01}
{'loss': 0.9967, 'learning_rate': 1e-05, 'epoch': 0.02}
{'loss': 0.8992, 'learning_rate': 1.5000000000000002e-05, 'epoch': 0.03}
{'loss': 0.9363, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 0.8357, 'learning_rate': 1.9995348836233517e-05, 'epoch': 0.05}
{'loss': 0.9554, 'learning_rate': 1.998139967159894e-05, 'epoch': 0.06}
{'loss': 0.9529, 'learning_rate': 1.9958165482066094e-05, 'epoch': 0.07}
{'loss': 0.9162, 'learning_rate': 1.992566788083908e-05, 'epoch': 0.07}
{'loss': 0.893, 'learning_rate': 1.9883937098250962e-05, 'epoch': 0.08}
{'loss': 1.0187, 'learning_rate': 1.9833011953642525e-05, 'epoch': 0.09}
{'loss': 0.9035, 'learning_rate': 1.9772939819251247e-05, 'epoch': 0.1}
{'loss': 0.922, 'learning_rate': 1.9703776576144106e-05, 'epoch': 0.11}
{'loss': 0.8783, 'learning_rate': 1.962558656223516e-05, 'epoch': 0.12}
{'loss': 0.8417, 'learning_rate': 1.953844251243633e-05, 'epoch': 0.13}
{'loss': 0.9024, 'learning_rate': 1.9442425490996987e-05, 'epoch': 0.14}
{'loss': 0.8997, 'learning_rate': 1.933762481609536e-05, 'epoch': 0.15}
{'loss': 0.8703, 'learning_rate': 1.9224137976751797e-05, 'epoch': 0.16}
{'loss': 0.9279, 'learning_rate': 1.910207054214133e-05, 'epoch': 0.17}
{'loss': 0.8979, 'learning_rate': 1.8971536063389745e-05, 'epoch': 0.18}
{'loss': 0.8767, 'learning_rate': 1.8832655967944607e-05, 'epoch': 0.19}
{'loss': 0.9299, 'learning_rate': 1.868555944661949e-05, 'epoch': 0.2}
{'loss': 0.9044, 'learning_rate': 1.853038333341642e-05, 'epoch': 0.21}
{'loss': 0.8866, 'learning_rate': 1.8367271978238422e-05, 'epoch': 0.21}
{'loss': 0.9463, 'learning_rate': 1.8196377112610524e-05, 'epoch': 0.22}
{'loss': 0.8623, 'learning_rate': 1.8017857708534107e-05, 'epoch': 0.23}
{'loss': 0.9226, 'learning_rate': 1.783187983060594e-05, 'epoch': 0.24}
{'loss': 0.8448, 'learning_rate': 1.763861648153945e-05, 'epoch': 0.25}
{'loss': 0.9464, 'learning_rate': 1.743824744123196e-05, 'epoch': 0.26}
