[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                                                                                   | 0/138 [00:00<?, ?it/s]/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:86: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                                                

{'loss': 0.9376, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.01}

{'loss': 0.9353, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.01}

{'loss': 0.8792, 'learning_rate': 1.2e-05, 'epoch': 0.02}

{'loss': 0.9303, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.03}

{'loss': 0.8809, 'learning_rate': 2e-05, 'epoch': 0.04}

{'loss': 0.9069, 'learning_rate': 1.9997210372120276e-05, 'epoch': 0.04}

{'loss': 0.9834, 'learning_rate': 1.998884304488584e-05, 'epoch': 0.05}

{'loss': 0.8866, 'learning_rate': 1.997490268664256e-05, 'epoch': 0.06}

{'loss': 0.8578, 'learning_rate': 1.995539707507284e-05, 'epoch': 0.07}

{'loss': 0.9291, 'learning_rate': 1.9930337092856243e-05, 'epoch': 0.07}

{'loss': 0.8881, 'learning_rate': 1.9899736721597787e-05, 'epoch': 0.08}

{'loss': 0.8807, 'learning_rate': 1.9863613034027224e-05, 'epoch': 0.09}

{'loss': 0.9674, 'learning_rate': 1.9821986184473757e-05, 'epoch': 0.09}

{'loss': 1.0307, 'learning_rate': 1.9774879397621387e-05, 'epoch': 0.1}

{'loss': 0.8916, 'learning_rate': 1.9722318955551307e-05, 'epoch': 0.11}

{'loss': 0.8887, 'learning_rate': 1.966433418307843e-05, 'epoch': 0.12}

{'loss': 0.9235, 'learning_rate': 1.960095743139033e-05, 'epoch': 0.12}

{'loss': 0.9011, 'learning_rate': 1.9532224059997693e-05, 'epoch': 0.13}

{'loss': 0.9242, 'learning_rate': 1.9458172417006347e-05, 'epoch': 0.14}

{'loss': 0.8541, 'learning_rate': 1.9378843817721856e-05, 'epoch': 0.14}

{'loss': 0.9297, 'learning_rate': 1.929428252159866e-05, 'epoch': 0.15}

{'loss': 0.951, 'learning_rate': 1.9204535707546602e-05, 'epoch': 0.16}

{'loss': 0.9012, 'learning_rate': 1.9109653447608607e-05, 'epoch': 0.17}

{'loss': 0.895, 'learning_rate': 1.900968867902419e-05, 'epoch': 0.17}

{'loss': 0.955, 'learning_rate': 1.8904697174694447e-05, 'epoch': 0.18}

{'loss': 0.8876, 'learning_rate': 1.879473751206489e-05, 'epoch': 0.19}

{'loss': 0.8812, 'learning_rate': 1.8679871040443632e-05, 'epoch': 0.2}

{'loss': 0.9262, 'learning_rate': 1.8560161846773002e-05, 'epoch': 0.2}

{'loss': 0.9923, 'learning_rate': 1.8435676719873828e-05, 'epoch': 0.21}

{'loss': 0.914, 'learning_rate': 1.830648511318223e-05, 'epoch': 0.22}

