[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                                                                                 | 0/128 [00:00<?, ?it/s]/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:86: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                                              

{'loss': 0.9504, 'learning_rate': 5e-06, 'epoch': 0.01}

{'loss': 0.901, 'learning_rate': 1e-05, 'epoch': 0.02}

{'loss': 0.8894, 'learning_rate': 1.5000000000000002e-05, 'epoch': 0.02}

{'loss': 0.8939, 'learning_rate': 2e-05, 'epoch': 0.03}

{'loss': 0.9298, 'learning_rate': 1.9996790752964305e-05, 'epoch': 0.04}

{'loss': 0.8245, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.05}

{'loss': 0.8807, 'learning_rate': 1.9971129134476474e-05, 'epoch': 0.05}

{'loss': 0.8107, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.06}

{'loss': 0.8134, 'learning_rate': 1.991987177050743e-05, 'epoch': 0.07}

{'loss': 0.8272, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.08}

{'loss': 0.7222, 'learning_rate': 1.9843150237975343e-05, 'epoch': 0.09}

{'loss': 0.7668, 'learning_rate': 1.9795299412524948e-05, 'epoch': 0.09}

{'loss': 0.747, 'learning_rate': 1.9741161479953872e-05, 'epoch': 0.1}

