[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                       | 0/125 [00:00<?, ?it/s]/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:86: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                    

{'loss': 1.0268, 'learning_rate': 5e-06, 'epoch': 0.01}

{'loss': 0.9062, 'learning_rate': 1e-05, 'epoch': 0.02}

{'loss': 0.9038, 'learning_rate': 1.5000000000000002e-05, 'epoch': 0.02}

{'loss': 0.8419, 'learning_rate': 2e-05, 'epoch': 0.03}

{'loss': 0.9536, 'learning_rate': 1.9996629653035128e-05, 'epoch': 0.04}

{'loss': 0.9089, 'learning_rate': 1.9986520883988233e-05, 'epoch': 0.05}

{'loss': 0.8993, 'learning_rate': 1.9969680506871138e-05, 'epoch': 0.06}

{'loss': 0.8874, 'learning_rate': 1.9946119873266615e-05, 'epoch': 0.06}

{'loss': 0.9148, 'learning_rate': 1.9915854864676665e-05, 'epoch': 0.07}

{'loss': 0.8988, 'learning_rate': 1.9878905881817254e-05, 'epoch': 0.08}

{'loss': 0.844, 'learning_rate': 1.9835297830866827e-05, 'epoch': 0.09}

{'loss': 0.8985, 'learning_rate': 1.9785060106677818e-05, 'epoch': 0.1}

{'loss': 0.9317, 'learning_rate': 1.9728226572962474e-05, 'epoch': 0.1}

{'loss': 0.8751, 'learning_rate': 1.966483553946637e-05, 'epoch': 0.11}

{'loss': 0.8219, 'learning_rate': 1.9594929736144978e-05, 'epoch': 0.12}

{'loss': 0.8263, 'learning_rate': 1.9518556284360696e-05, 'epoch': 0.13}

{'loss': 0.8926, 'learning_rate': 1.9435766665119823e-05, 'epoch': 0.14}

{'loss': 0.8752, 'learning_rate': 1.934661668437073e-05, 'epoch': 0.14}

{'loss': 0.9266, 'learning_rate': 1.9251166435386837e-05, 'epoch': 0.15}

{'loss': 0.8655, 'learning_rate': 1.9149480258259535e-05, 'epoch': 0.16}

{'loss': 0.9758, 'learning_rate': 1.9041626696528503e-05, 'epoch': 0.17}

{'loss': 0.9165, 'learning_rate': 1.892767845097864e-05, 'epoch': 0.18}

{'loss': 0.8519, 'learning_rate': 1.8807712330634645e-05, 'epoch': 0.18}

{'loss': 0.9094, 'learning_rate': 1.868180920098644e-05, 'epoch': 0.19}

{'loss': 0.8926, 'learning_rate': 1.8550053929480202e-05, 'epoch': 0.2}

{'loss': 0.8821, 'learning_rate': 1.8412535328311813e-05, 'epoch': 0.21}

{'loss': 0.9074, 'learning_rate': 1.826934609456129e-05, 'epoch': 0.22}

{'loss': 0.8417, 'learning_rate': 1.8120582747708503e-05, 'epoch': 0.22}

{'loss': 0.8704, 'learning_rate': 1.796634556457236e-05, 'epoch': 0.23}

{'loss': 0.8714, 'learning_rate': 1.780673851171728e-05, 'epoch': 0.24}

{'loss': 0.8666, 'learning_rate': 1.7641869175372493e-05, 'epoch': 0.25}

{'loss': 0.8607, 'learning_rate': 1.7471848688911465e-05, 'epoch': 0.26}

{'loss': 0.8847, 'learning_rate': 1.72967916579403e-05, 'epoch': 0.26}

{'loss': 0.8424, 'learning_rate': 1.7116816083045603e-05, 'epoch': 0.27}

{'loss': 0.9393, 'learning_rate': 1.6932043280253892e-05, 'epoch': 0.28}

{'loss': 0.9612, 'learning_rate': 1.6742597799256182e-05, 'epoch': 0.29}

{'loss': 0.8398, 'learning_rate': 1.6548607339452853e-05, 'epoch': 0.3}

