[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                                                            | 0/128 [00:00<?, ?it/s]/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:86: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                         

{'loss': 0.8173, 'learning_rate': 5e-06, 'epoch': 0.01}

{'loss': 0.7836, 'learning_rate': 1e-05, 'epoch': 0.02}

{'loss': 0.7488, 'learning_rate': 1.5000000000000002e-05, 'epoch': 0.02}

{'loss': 0.7616, 'learning_rate': 2e-05, 'epoch': 0.03}

{'loss': 0.7993, 'learning_rate': 1.9996790752964305e-05, 'epoch': 0.04}

{'loss': 0.7171, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.05}

{'loss': 0.7818, 'learning_rate': 1.9971129134476474e-05, 'epoch': 0.05}

{'loss': 0.7314, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.06}

{'loss': 0.7312, 'learning_rate': 1.991987177050743e-05, 'epoch': 0.07}

{'loss': 0.7549, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.08}

{'loss': 0.6596, 'learning_rate': 1.9843150237975343e-05, 'epoch': 0.09}

{'loss': 0.7151, 'learning_rate': 1.9795299412524948e-05, 'epoch': 0.09}

{'loss': 0.6957, 'learning_rate': 1.9741161479953872e-05, 'epoch': 0.1}

{'loss': 0.7528, 'learning_rate': 1.9680771188662044e-05, 'epoch': 0.11}

{'loss': 0.6696, 'learning_rate': 1.9614167300122126e-05, 'epoch': 0.12}

{'loss': 0.6551, 'learning_rate': 1.954139256400049e-05, 'epoch': 0.12}

{'loss': 0.703, 'learning_rate': 1.9462493690718373e-05, 'epoch': 0.13}

{'loss': 0.6938, 'learning_rate': 1.9377521321470806e-05, 'epoch': 0.14}

{'loss': 0.6563, 'learning_rate': 1.9286529995722624e-05, 'epoch': 0.15}

{'loss': 0.6783, 'learning_rate': 1.918957811620231e-05, 'epoch': 0.16}

{'loss': 0.7074, 'learning_rate': 1.908672791141625e-05, 'epoch': 0.16}

{'loss': 0.746, 'learning_rate': 1.897804539570742e-05, 'epoch': 0.17}

{'loss': 0.7217, 'learning_rate': 1.8863600326884085e-05, 'epoch': 0.18}

{'loss': 0.6004, 'learning_rate': 1.8743466161445823e-05, 'epoch': 0.19}

{'loss': 0.6893, 'learning_rate': 1.8617720007435497e-05, 'epoch': 0.2}

{'loss': 0.7185, 'learning_rate': 1.848644257494751e-05, 'epoch': 0.2}

{'loss': 0.6824, 'learning_rate': 1.8349718124324075e-05, 'epoch': 0.21}

{'loss': 0.6648, 'learning_rate': 1.8207634412072765e-05, 'epoch': 0.22}

{'loss': 0.6471, 'learning_rate': 1.8060282634540053e-05, 'epoch': 0.23}

{'loss': 0.6723, 'learning_rate': 1.7907757369376984e-05, 'epoch': 0.23}

{'loss': 0.6976, 'learning_rate': 1.775015651483459e-05, 'epoch': 0.24}

{'loss': 0.7478, 'learning_rate': 1.758758122692791e-05, 'epoch': 0.25}

{'loss': 0.7195, 'learning_rate': 1.742013585450911e-05, 'epoch': 0.26}

{'loss': 0.6933, 'learning_rate': 1.72479278722912e-05, 'epoch': 0.27}

{'loss': 0.6469, 'learning_rate': 1.7071067811865477e-05, 'epoch': 0.27}

{'loss': 0.6811, 'learning_rate': 1.688966919075687e-05, 'epoch': 0.28}

{'loss': 0.6408, 'learning_rate': 1.6703848439562787e-05, 'epoch': 0.29}

{'loss': 0.6705, 'learning_rate': 1.6513724827222225e-05, 'epoch': 0.3}

{'loss': 0.7392, 'learning_rate': 1.631942038446304e-05, 'epoch': 0.3}

{'loss': 0.685, 'learning_rate': 1.612105982547663e-05, 'epoch': 0.31}

{'loss': 0.7072, 'learning_rate': 1.5918770467870174e-05, 'epoch': 0.32}

{'loss': 0.7239, 'learning_rate': 1.5712682150947926e-05, 'epoch': 0.33}

{'loss': 0.637, 'learning_rate': 1.5502927152373913e-05, 'epoch': 0.34}

{'loss': 0.7668, 'learning_rate': 1.5289640103269626e-05, 'epoch': 0.34}

{'loss': 0.6672, 'learning_rate': 1.5072957901801075e-05, 'epoch': 0.35}

{'loss': 1.4103, 'learning_rate': 1.4853019625310813e-05, 'epoch': 0.36}

{'loss': 0.665, 'learning_rate': 1.4629966441051208e-05, 'epoch': 0.37}

{'loss': 0.7078, 'learning_rate': 1.4403941515576344e-05, 'epoch': 0.38}

{'loss': 0.6221, 'learning_rate': 1.4175089922850633e-05, 'epoch': 0.38}

{'loss': 0.6247, 'learning_rate': 1.3943558551133186e-05, 'epoch': 0.39}

{'loss': 0.6701, 'learning_rate': 1.370949600869768e-05, 'epoch': 0.4}

{'loss': 0.5951, 'learning_rate': 1.3473052528448203e-05, 'epoch': 0.41}

{'loss': 0.7079, 'learning_rate': 1.3234379871492381e-05, 'epoch': 0.41}

{'loss': 0.6423, 'learning_rate': 1.2993631229733584e-05, 'epoch': 0.42}

{'loss': 0.6932, 'learning_rate': 1.2750961127544782e-05, 'epoch': 0.43}

{'loss': 0.6726, 'learning_rate': 1.2506525322587207e-05, 'epoch': 0.44}

{'loss': 0.6844, 'learning_rate': 1.226048070583735e-05, 'epoch': 0.45}

{'loss': 0.6238, 'learning_rate': 1.2012985200886602e-05, 'epoch': 0.45}

{'loss': 0.6729, 'learning_rate': 1.1764197662578087e-05, 'epoch': 0.46}

{'loss': 0.6338, 'learning_rate': 1.1514277775045768e-05, 'epoch': 0.47}

{'loss': 0.677, 'learning_rate': 1.1263385949221294e-05, 'epoch': 0.48}

{'loss': 0.6223, 'learning_rate': 1.1011683219874324e-05, 'epoch': 0.48}

{'loss': 0.6805, 'learning_rate': 1.0759331142252463e-05, 'epoch': 0.49}

{'loss': 0.6477, 'learning_rate': 1.0506491688387128e-05, 'epoch': 0.5}

{'loss': 0.6651, 'learning_rate': 1.025332714313188e-05, 'epoch': 0.51}

{'loss': 0.6578, 'learning_rate': 1e-05, 'epoch': 0.52}

{'loss': 0.6866, 'learning_rate': 9.746672856868124e-06, 'epoch': 0.52}

{'loss': 0.7059, 'learning_rate': 9.493508311612874e-06, 'epoch': 0.53}

{'loss': 0.6457, 'learning_rate': 9.24066885774754e-06, 'epoch': 0.54}

{'loss': 0.6737, 'learning_rate': 8.98831678012568e-06, 'epoch': 0.55}

