[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                                      | 0/151 [00:00<?, ?it/s]/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/vast/users/xiaodan/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:86: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                   

{'loss': 3.3592, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.01}

{'loss': 3.0646, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.01}

{'loss': 3.8454, 'learning_rate': 1.2e-05, 'epoch': 0.02}

{'loss': 3.0428, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.03}

{'loss': 3.2522, 'learning_rate': 2e-05, 'epoch': 0.03}

{'loss': 3.3193, 'learning_rate': 1.9997685019798913e-05, 'epoch': 0.04}

{'loss': 4.2321, 'learning_rate': 1.9990741151022302e-05, 'epoch': 0.05}

{'loss': 2.316, 'learning_rate': 1.9979171608653926e-05, 'epoch': 0.05}

{'loss': 1.7033, 'learning_rate': 1.996298174934608e-05, 'epoch': 0.06}

{'loss': 1.7522, 'learning_rate': 1.994217906893952e-05, 'epoch': 0.07}

{'loss': 1.3741, 'learning_rate': 1.99167731989929e-05, 'epoch': 0.07}

{'loss': 1.3549, 'learning_rate': 1.9886775902323405e-05, 'epoch': 0.08}

{'loss': 1.1403, 'learning_rate': 1.9852201067560607e-05, 'epoch': 0.09}

{'loss': 0.9209, 'learning_rate': 1.9813064702716094e-05, 'epoch': 0.09}

{'loss': 1.2553, 'learning_rate': 1.976938492777182e-05, 'epoch': 0.1}

{'loss': 1.1533, 'learning_rate': 1.9721181966290614e-05, 'epoch': 0.11}

{'loss': 1.1276, 'learning_rate': 1.9668478136052776e-05, 'epoch': 0.11}

{'loss': 0.9766, 'learning_rate': 1.961129783872301e-05, 'epoch': 0.12}

{'loss': 0.6793, 'learning_rate': 1.9549667548552557e-05, 'epoch': 0.13}

{'loss': 0.924, 'learning_rate': 1.9483615800121717e-05, 'epoch': 0.13}

{'loss': 0.8758, 'learning_rate': 1.9413173175128472e-05, 'epoch': 0.14}

{'loss': 1.0795, 'learning_rate': 1.9338372288229253e-05, 'epoch': 0.15}

{'loss': 0.8765, 'learning_rate': 1.92592477719385e-05, 'epoch': 0.15}

{'loss': 1.0489, 'learning_rate': 1.9175836260593937e-05, 'epoch': 0.16}

{'loss': 0.6337, 'learning_rate': 1.908817637339503e-05, 'epoch': 0.17}

{'loss': 0.9015, 'learning_rate': 1.8996308696522435e-05, 'epoch': 0.17}

